-19.051467,-65.262748,5,3,1650,900,17,3,10,985000
-19.049678,-65.25872,5,3,860,604,11,3,8,900000
-19.019375,-65.261999,4,3,250,150,4,1,3,59000
-19.051948,-65.258505,3,3,191,209,17,1,10,200000
-19.033583,-65.242272,4,3,300,200,6,1,9,180000
-19.154431,-65.249478,5,3,2000,3200,9,1,8,300000
-19.039164,-65.252081,5,3,260,94,9,1,8,172000
-19.01786,-65.28186,3,3,300,150,7,0,8,151000
-19.043994,-65.264876,3,2,182,75,10,0,10,170000
-19.03083,-65.245652,5,3,750,155,5,0,8,150000
-19.045928,-65.267655,5,3,309,128,6,1,8,300000
-19.048921,-65.259487,5,3,250,810,15,0,7,410000
-19.046865,-65.263401,15,3,909,410,20,1,9,1000000
-19.05608,-65.268582,8,3,649,490,15,1,7,343000
-19.054358,-65.257163,6,5,680,410,13,3,8,310000
-19.042426,-65.249616,8,4,590,583,14,2,10,550000
-19.013123,-65.278283,5,3,330,320,13,2,7,150000
-19.046567,-65.241451,9,5,348,320,11,4,9,320000
-19.093372,-65.267252,3,2,423,200,16,2,9,125000
-19.035889,-65.251209,2,1,75,75,7,0,8,25500
-19.015754,-65.284726,4,3,330,180,10,2,9,127000
-19.044187,-65.24077,10,3,279,218,9,4,10,179000
-19.047653,-65.24803,14,4,336,387,8,0,9,239000
-19.041569,-65.244198,8,2,180,277,13,2,9,259000
-19.041561,-65.244197,6,1,280,307,15,2,8,259000
-19.047906,-65.265147,4,6,2575,5670,5,1,5,390000
-19.047121,-65.263312,24,4,1068,658,20,0,9,390000
-19.093372,-65.267252,3,2,423,200,16,2,9,125000
-19.054358,-65.257163,7,5,680,410,13,3,10,330000
-19.01786,-65.28186,3,3,300,150,7,0,8,151000
